CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
100037,585,South Africa,Male,48,5,83.13,1,0,0,76578.52,0
100038,694,Italy,Male,41,0,4421.95,2,1,0,183456.89,0
100039,398,USA,Female,52,6,150638.29,3,1,0,74556.35,0
100040,824,Sweden,Female,61,0,91199.55,2,1,0,96567.64,1
100041,408,Netherlands,Female,62,4,96615.21,2,1,0,138841.63,1
100042,519,France,Male,51,9,141110.27,2,0,0,113174.07,0
100043,825,Singapore,Male,20,7,47945.61,3,1,1,75908.34,0
100044,537,Spain,Male,54,3,52938.84,2,1,0,92772.51,0
100045,813,Netherlands,Female,60,4,121150.4,2,1,1,160951.36,0
100046,620,UK,Male,57,3,188563.39,2,1,0,62844.54,1
100047,539,Switzerland,Female,43,3,154874.44,2,1,1,37028.5,0
100048,795,Mexico,Female,40,7,74338.76,2,1,1,69501.01,0
100049,524,Canada,Female,61,1,107584.29,1,1,1,171411.5,0
100050,795,South Africa,Female,56,0,42666.19,1,1,1,26908.05,0
100051,400,Spain,Female,32,2,18657.45,1,1,0,198422.25,0
100052,713,Canada,Female,66,8,195674.01,1,1,1,112790.55,0
100053,404,USA,Male,21,3,66346.85,1,0,0,197120.69,1
100054,593,Germany,Male,46,9,44441.6,1,0,0,188409.32,0
100055,669,Japan,Female,39,4,172904.51,2,0,1,96034.61,0
100056,480,Canada,Female,42,1,154512.92,1,1,1,47713.3,1
100057,834,South Africa,Male,30,3,158297.41,2,1,0,41328.11,0
100058,656,Singapore,Female,35,1,57223.65,1,1,1,55597.98,0
100059,484,USA,Female,50,1,58161.38,1,1,1,144925.2,1
100060,370,Japan,Male,33,3,55200.66,2,1,0,61860.5,0
100061,678,Canada,Female,62,5,43438.15,2,0,0,74870.8,0
100062,516,Switzerland,Female,59,6,163930.92,1,1,0,95267.97,0
100063,623,Brazil,Female,61,9,212003.97,2,1,0,183514.21,1
100064,737,Netherlands,Male,19,2,181079.37,2,1,0,45984.75,0
100065,438,Spain,Male,52,2,198023.41,1,0,0,10955.04,1
100066,665,Switzerland,Male,59,9,101199.61,1,1,0,21418.32,1
100067,363,Spain,Female,51,5,163518.95,3,1,1,181905.6,1
100068,591,Brazil,Female,47,2,88559.06,2,1,1,133028.13,0
100069,614,UAE,Male,30,1,131376.16,2,1,1,61877.72,0
100070,695,South Africa,Female,30,7,120408.71,2,1,0,43666.58,1
100071,402,Netherlands,Female,35,4,44221.79,1,0,1,65910.68,0
100072,735,UAE,Female,49,0,96769.69,1,1,1,31811.42,1
100073,689,Italy,Female,49,2,240955.57,1,1,1,188891.25,0
100074,441,Netherlands,Female,52,9,62145.06,2,1,0,158999.17,0
100075,716,UAE,Male,56,7,33450.93,2,1,1,97854.32,0
100076,793,India,Female,63,3,104645.16,2,1,0,174342.89,0
100077,804,France,Male,69,6,197584.43,1,0,0,57397.06,1
100078,777,Italy,Female,46,9,145537.06,1,1,1,146252.91,0
100079,613,India,Male,66,1,170243.71,1,1,1,172665.17,1
100080,780,Singapore,Female,46,6,47423.71,2,1,0,77786.06,0
100081,384,Spain,Male,70,4,154737.05,2,0,1,153918.24,1
100082,555,China,Female,61,4,80875.1,1,1,1,66063.75,0
100083,430,New Zealand,Male,33,5,208575.84,2,1,1,66782.86,0
100084,769,Mexico,Female,61,8,157324.7,1,1,1,30340.86,0
100085,399,Spain,Male,64,5,49714.07,3,1,0,93611.03,1
100086,709,UK,Female,27,7,16154.17,1,1,1,148645.26,0
100087,737,UK,Male,47,6,10658.3,2,1,1,188641.95,0
100088,351,India,Male,42,8,92852.14,1,0,0,124721.43,0
100089,739,Australia,Female,56,3,66462.78,2,1,1,173995.75,1
100090,403,Japan,Female,37,1,161522.53,1,1,1,166273.98,1
100091,455,France,Male,22,6,124833.46,1,1,1,42935.18,0
100092,609,Italy,Female,18,5,66504.82,1,1,1,102305.31,1
100093,659,France,Male,47,0,37309.44,1,0,1,32215.47,0
100094,826,Italy,Male,66,10,31799.94,1,0,1,139609.1,0
100095,540,Spain,Male,20,8,216165.1,2,1,1,190480.94,0
100096,751,Singapore,Female,62,8,60869.49,1,1,1,36047.0,0
100097,567,USA,Male,31,1,162927.66,2,1,0,149437.79,0
100098,393,India,Male,47,2,202671.48,2,1,1,130125.25,0
100099,511,Brazil,Female,67,4,153520.33,2,1,0,120884.96,0
100100,551,Australia,Female,21,4,214891.31,1,1,1,84122.84,0
100101,795,UK,Female,35,0,98098.43,1,1,1,77475.01,0
100102,833,Singapore,Female,54,7,239055.55,2,1,1,18597.35,0
100103,619,Spain,Male,42,7,33286.25,3,1,1,51402.65,0
100104,700,UK,Male,65,3,25537.38,1,1,1,12883.61,0
100105,653,India,Male,18,6,164673.04,1,0,0,120469.25,0
100106,620,UK,Male,70,10,235707.79,1,1,1,30112.11,0
100107,805,Australia,Female,63,9,202220.87,3,1,0,175873.68,1
100108,811,Netherlands,Male,32,2,19104.21,1,1,0,109397.17,0
100109,564,Switzerland,Male,26,5,69841.93,1,1,0,142941.08,0
100110,601,UK,Female,32,9,232579.72,2,1,1,88062.85,0
100111,539,India,Male,66,9,63264.61,1,1,1,116510.16,0
100112,645,Australia,Male,41,8,195292.61,1,0,1,189105.24,0
100113,562,Switzerland,Male,21,0,206283.05,2,1,0,25719.47,0
100114,557,France,Male,29,4,123863.03,2,1,1,58248.18,0
100115,586,Italy,Male,54,3,96587.23,1,1,0,158197.78,0
100116,687,Netherlands,Male,54,7,112531.11,1,1,0,28760.07,0
100117,716,Netherlands,Female,60,10,56741.17,1,0,1,24375.61,0
100118,402,Japan,Female,23,0,222347.73,1,1,0,78692.87,0
100119,629,UAE,Male,56,8,112654.91,2,1,0,27511.91,0
100120,759,New Zealand,Male,63,5,220614.86,1,1,0,121164.9,0
100121,566,France,Female,41,3,26423.37,1,1,0,52992.3,0
100122,601,Mexico,Male,28,8,247068.82,1,1,0,180182.61,0
100123,537,Sweden,Male,30,10,110818.27,2,0,0,158865.02,0
100124,729,Canada,Male,51,4,11957.71,2,1,1,142943.99,0
100125,842,Australia,Female,42,4,9505.46,2,1,1,127219.37,0
100126,390,France,Male,24,4,186551.81,1,0,1,174058.49,0
100127,506,UAE,Female,69,0,164758.88,2,0,1,52381.79,0
100128,364,Netherlands,Male,21,0,200532.64,2,0,0,175890.68,0
100129,650,China,Female,25,7,26341.88,1,0,1,160003.54,0
100130,414,Canada,Female,37,7,8892.72,1,1,1,152150.56,0
100131,694,UAE,Male,46,5,127144.82,1,1,0,116638.58,0
100132,676,France,Female,70,10,96898.81,1,1,1,56786.39,0
100133,358,New Zealand,Male,68,3,115486.73,1,1,0,90474.1,1
100134,693,USA,Female,62,1,247897.1,1,1,0,160778.42,1
100135,478,Japan,Male,63,1,242687.49,1,1,0,16037.91,1
100136,841,UAE,Male,27,8,235578.85,2,1,1,158589.65,0
100137,485,Germany,Female,60,4,195960.67,1,1,1,55613.44,1
100138,821,Singapore,Male,51,3,88710.34,2,1,1,37418.75,0
100139,412,Singapore,Male,43,9,103032.73,2,1,0,31983.25,0
100140,488,Sweden,Female,58,0,137404.01,2,1,0,15177.5,0
100141,848,China,Male,66,6,207633.61,2,0,0,109481.43,0
100142,430,France,Male,20,2,17178.21,1,1,0,51469.38,0
100143,741,India,Female,23,5,106074.22,2,1,1,197992.04,0
100144,512,India,Female,22,4,20654.42,1,1,0,119142.98,1
100145,768,Sweden,Male,22,4,128664.4,1,1,1,36198.2,0
100146,638,UAE,Male,64,10,224725.21,2,1,1,140864.88,0
100147,728,Italy,Female,40,4,195621.23,1,1,0,180571.28,0
100148,610,UK,Female,66,0,56960.6,1,1,1,151584.1,1
100149,839,France,Male,26,0,243997.71,2,1,0,24523.57,0
100150,580,Germany,Female,52,2,166837.6,2,1,0,180217.99,0
100151,390,Spain,Male,37,9,2606.92,2,1,0,160846.58,1
100152,377,Italy,Male,66,3,63853.37,1,1,1,40077.74,0
100153,484,Australia,Male,59,4,65178.32,2,0,0,19839.32,1
100154,550,India,Male,52,1,17313.58,1,1,1,115889.01,0
100155,677,New Zealand,Male,67,7,239956.63,2,0,1,39646.8,0
100156,617,Japan,Female,35,10,119563.82,3,1,0,168572.28,0
100157,767,Singapore,Female,34,10,223953.65,2,1,1,78083.58,0
100158,382,Netherlands,Female,41,1,80553.88,2,0,1,183449.56,0
100159,397,Italy,Female,20,8,31308.39,1,0,0,117480.75,0
100160,756,Sweden,Male,49,1,118584.03,2,1,0,44707.75,0
100161,411,Mexico,Male,52,8,28489.16,2,1,1,36523.78,0
100162,565,Mexico,Male,55,6,121503.88,1,0,0,119529.76,0
100163,642,Sweden,Male,30,7,230074.3,2,1,1,154757.89,0
100164,448,Singapore,Female,64,10,130192.04,1,0,0,158486.07,1
100165,521,France,Male,42,1,154124.93,2,1,0,62393.91,0
100166,709,USA,Male,26,6,39159.61,2,1,0,48806.88,0
100167,563,UK,Female,21,5,10933.91,2,1,0,13183.7,0
100168,824,Mexico,Female,31,3,27701.99,1,1,1,139047.84,0
100169,384,Australia,Female,54,6,149632.89,2,1,0,24547.97,1
100170,798,Mexico,Female,51,3,23752.92,2,1,1,89944.63,0
100171,576,Mexico,Male,28,1,93998.22,2,0,1,124319.61,0
100172,450,Mexico,Male,58,9,137522.99,1,0,1,188050.7,0
100173,780,USA,Female,20,6,97163.2,1,0,1,69242.41,0
100174,811,USA,Male,45,7,40920.95,2,1,0,57456.71,0
100175,480,Australia,Male,46,1,68447.83,1,0,0,134290.43,0
100176,606,India,Male,26,4,232079.38,2,1,1,127655.42,0
100177,354,India,Female,20,0,168995.57,2,1,0,73100.86,0
100178,567,New Zealand,Male,42,6,124011.96,2,1,1,186339.35,0
100179,604,USA,Female,51,7,3178.72,2,1,0,170523.84,1
100180,747,Singapore,Male,29,5,248103.85,2,1,1,52556.68,0
100181,708,Germany,Male,59,4,167863.73,1,1,1,55437.08,0
100182,632,Canada,Male,26,5,79230.62,1,1,1,107337.07,0
100183,742,China,Female,32,1,219817.16,1,1,1,156978.7,0
100184,556,Mexico,Male,57,0,64607.91,1,1,1,18367.67,1
100185,364,Germany,Female,42,6,136004.14,2,0,1,141733.68,0
100186,695,Australia,Female,22,6,159017.69,2,1,1,133164.82,0
100187,391,Sweden,Female,28,9,55265.84,2,1,0,53981.22,0
100188,729,USA,Male,51,10,244599.32,2,0,0,139457.07,0
100189,810,Germany,Male,41,9,187047.98,4,1,0,188634.81,0
100190,528,China,Male,32,1,139453.31,2,0,1,18889.31,0
100191,412,Brazil,Male,55,1,45148.65,2,1,0,70733.89,1
100192,701,Brazil,Female,25,0,13464.55,2,0,1,93253.58,0
100193,580,India,Female,22,9,80014.96,1,1,1,180859.47,0
100194,590,Italy,Female,65,7,188296.83,1,1,1,192829.67,1
100195,401,Germany,Male,43,7,67332.82,1,1,1,94381.9,0
100196,445,Brazil,Female,35,0,134889.06,2,1,0,152505.4,0
100197,737,UK,Male,23,10,181986.79,2,1,1,111015.59,0
100198,571,Sweden,Female,54,7,26985.93,1,1,1,112178.76,0
100199,834,Canada,Male,65,8,171324.5,1,0,0,62838.91,0
100200,756,New Zealand,Male,30,3,22967.72,2,1,0,51221.69,0
100201,580,UK,Female,45,0,241282.44,1,1,1,64721.02,0
100202,586,New Zealand,Female,22,0,122098.53,1,1,1,115702.32,0
100203,492,Sweden,Female,30,2,37669.03,2,1,0,15539.49,0
100204,520,France,Female,34,4,85595.91,1,1,1,182377.3,0
100205,378,Sweden,Male,67,4,103354.11,1,1,1,39693.9,1
100206,385,Italy,Female,57,8,189546.25,2,1,0,51816.85,1
100207,362,India,Female,62,9,185855.95,2,1,1,108472.47,0
100208,509,Spain,Female,49,1,152985.13,2,0,1,144921.81,0
100209,676,France,Male,46,1,26482.68,1,0,1,28188.52,0
100210,536,South Africa,Male,68,5,37892.34,1,0,1,70361.99,0
100211,592,Spain,Female,20,8,23439.23,1,1,0,194048.18,0
100212,435,India,Male,57,0,144293.2,2,0,0,59845.16,0
100213,633,China,Female,51,8,219284.61,2,1,0,69479.53,0
100214,415,South Africa,Male,57,8,108450.13,1,1,0,168934.71,1
100215,519,Japan,Male,44,8,40212.04,2,0,0,19540.74,0
100216,394,UK,Male,30,4,139510.58,1,1,1,98276.5,0
100217,411,France,Male,62,8,202938.05,1,1,1,82127.19,0
100218,790,Brazil,Female,50,10,185428.02,1,0,1,70151.48,1
100219,850,Brazil,Female,23,3,220362.69,1,1,1,64282.92,0
100220,483,Sweden,Female,41,1,69475.52,2,0,1,27361.08,0
100221,633,Mexico,Male,36,5,48488.47,2,1,0,69816.91,0
100222,377,USA,Female,33,3,219954.12,1,1,0,18179.96,0
100223,457,India,Female,57,5,164390.08,2,1,1,158383.13,0
100224,393,Brazil,Female,45,2,77732.23,1,1,1,85663.28,0
100225,689,Singapore,Male,50,5,185587.01,2,1,0,94341.73,0
100226,635,Australia,Male,65,1,203779.6,2,1,1,179782.97,0
100227,795,Australia,Male,58,1,153744.56,1,0,0,135030.45,0
100228,680,Italy,Female,30,8,171971.03,2,0,1,11531.23,0
100229,477,Italy,Female,60,6,93814.98,1,1,1,189203.22,1
100230,697,UK,Female,62,2,134673.92,1,1,1,55057.45,1
100231,822,New Zealand,Male,42,10,131039.79,1,1,1,30446.7,0
100232,580,Brazil,Male,70,0,212011.95,2,1,1,155944.35,0
100233,539,Brazil,Female,59,7,209991.0,2,1,1,105090.69,0
100234,574,UK,Male,53,5,208170.12,1,0,1,92416.41,0
100235,734,Sweden,Male,44,6,2757.9,2,1,1,57405.59,0
100236,726,India,Male,55,8,187386.37,2,1,1,114019.58,0
100237,632,Sweden,Male,24,4,189669.1,2,0,0,62133.07,0
100238,795,China,Female,22,0,169594.71,2,0,0,181300.77,0
100239,470,Mexico,Male,60,9,189066.16,2,0,1,50888.85,0
100240,465,Spain,Male,62,6,210492.59,1,1,0,178027.48,0
100241,810,Canada,Male,68,4,117579.76,1,1,0,116287.03,1
100242,582,Germany,Male,48,2,125512.55,3,0,1,167412.75,0
100243,608,Spain,Female,40,8,31178.51,1,0,1,145440.74,0
100244,708,Sweden,Female,59,0,96343.97,3,1,1,142372.07,0
100245,547,UK,Male,27,0,160841.29,2,1,0,71625.7,0
100246,805,Brazil,Male,49,0,195099.94,1,1,0,54440.42,0
100247,760,UK,Male,60,2,54302.27,1,1,0,50068.38,1
100248,486,South Africa,Male,70,5,34455.72,1,1,0,172866.41,1
100249,667,Switzerland,Male,47,9,165760.5,2,1,0,165881.1,0
100250,514,South Africa,Male,56,10,469.97,1,1,0,93708.97,1
100251,574,USA,Female,48,2,44593.15,1,1,1,35156.88,0
100252,656,UK,Male,35,7,7267.85,1,0,1,82627.93,1
100253,583,Brazil,Female,53,9,41721.28,1,0,0,127675.26,0
100254,521,Italy,Female,19,1,45329.82,1,0,0,96336.6,1
100255,501,Canada,Male,31,8,96918.4,1,1,1,158235.96,0
100256,812,India,Female,30,2,100581.78,2,1,0,199548.34,0
100257,664,Canada,Female,46,4,218565.62,1,1,1,46315.1,0
100258,723,India,Female,29,9,127527.43,1,0,0,97333.66,0
100259,509,Switzerland,Female,56,7,180851.19,1,1,0,91886.94,0
100260,445,Brazil,Female,19,1,26034.34,1,1,0,67853.58,0
100261,821,Sweden,Female,49,5,56359.69,4,0,0,47638.15,0
100262,582,Spain,Male,30,4,175735.86,2,1,1,22481.5,0
100263,529,France,Female,63,9,13200.99,1,1,1,178552.67,0
100264,462,UK,Female,44,8,121649.42,2,1,1,89771.25,0
100265,667,Mexico,Female,66,4,149842.24,1,0,0,104410.15,0
100266,846,India,Male,58,1,150536.41,1,0,1,184218.99,0
100267,791,Brazil,Female,34,4,5733.2,3,1,1,157495.19,0
100268,401,Singapore,Male,57,3,80527.0,2,0,1,34795.24,1
100269,617,New Zealand,Female,48,10,159122.66,3,1,0,117429.79,0
100270,644,Switzerland,Male,51,6,37249.93,1,1,0,94027.93,0
100271,735,Germany,Male,41,5,173853.91,2,1,1,161470.1,1
100272,736,Germany,Female,62,1,186481.3,1,1,1,147604.18,1
100273,462,UAE,Female,52,10,245492.3,1,1,0,141177.09,0
100274,450,New Zealand,Male,65,10,52460.5,2,0,0,74703.52,0
100275,462,Spain,Female,23,4,206282.67,1,1,1,162943.11,0
100276,789,USA,Male,36,6,130074.14,2,1,1,19954.35,0
100277,430,India,Male,47,10,93365.65,2,1,0,40328.73,0
100278,536,Netherlands,Male,24,6,30594.19,1,0,1,73768.42,0
100279,462,India,Male,27,4,183876.4,2,1,1,24593.41,0
100280,351,Australia,Male,58,8,58964.4,2,1,1,54648.91,0
100281,479,Brazil,Female,49,3,92855.5,1,0,1,167728.69,0
100282,569,New Zealand,Male,51,10,15635.56,2,0,0,190167.79,0
100283,403,Canada,Male,45,2,200341.73,2,0,1,67874.45,0
100284,692,UK,Female,32,3,191647.13,1,1,0,60258.0,0
100285,834,Mexico,Male,47,4,183403.96,2,0,1,63179.6,0
100286,573,Mexico,Female,54,5,74860.88,4,0,1,62766.63,1
100287,574,Singapore,Female,46,2,43370.02,1,1,0,16826.73,1
100288,734,Switzerland,Female,39,1,159388.32,2,1,1,186114.11,0
100289,752,Germany,Male,21,3,124041.6,1,0,1,50602.65,0
100290,475,UK,Male,37,4,44563.12,2,0,0,89800.77,0
100291,479,Italy,Male,49,3,171477.82,2,0,1,11840.51,0
100292,402,Australia,Female,53,10,247781.61,1,0,1,173011.47,0
100293,521,Mexico,Male,67,2,186804.9,1,1,1,148919.9,0
100294,567,Switzerland,Female,21,7,184996.6,2,0,0,189883.65,0
100295,509,UK,Male,44,9,237578.19,1,0,0,158506.94,1
100296,547,India,Female,34,3,50734.09,2,1,0,69604.24,1
100297,765,Sweden,Male,29,1,141387.49,1,1,1,57095.94,0
100298,596,India,Male,39,1,244911.68,2,1,0,142566.1,0
100299,673,UK,Male,34,0,41323.53,2,1,1,79181.43,0
100300,788,South Africa,Female,27,3,175062.99,2,1,0,117580.85,0
100301,552,Japan,Female,18,9,146452.54,1,1,1,11188.92,0
100302,533,UK,Male,39,8,146619.77,2,1,0,21758.28,0
100303,472,Spain,Male,43,10,174417.66,2,1,0,111719.91,0
100304,750,Switzerland,Female,35,6,232404.23,1,1,0,117553.61,0
100305,604,South Africa,Female,67,9,195645.48,1,0,0,152776.06,1
100306,643,Netherlands,Female,31,6,14034.03,1,1,1,35073.41,0
100307,629,USA,Male,64,6,213182.0,2,0,1,107504.79,0
100308,674,Japan,Female,46,7,56385.33,2,1,1,46945.05,1
100309,721,USA,Male,29,0,94228.54,1,1,1,27707.26,0
100310,447,Mexico,Female,53,9,115433.2,2,1,1,87994.2,0
100311,547,Spain,Male,52,9,120226.5,1,0,1,41033.96,0
100312,819,India,Female,69,7,108795.1,1,1,1,52138.58,0
100313,744,Italy,Female,29,3,234338.32,3,1,1,70335.37,0
100314,589,China,Female,24,3,176504.75,2,1,0,59283.8,0
100315,493,Brazil,Female,46,3,157792.66,2,1,1,26642.35,0
100316,446,France,Female,28,5,12460.51,1,1,0,27084.09,0
100317,550,Japan,Male,50,6,225978.33,2,1,1,46717.39,0
100318,473,UK,Female,23,5,227347.55,1,1,1,19606.25,0
100319,536,South Africa,Female,64,0,195053.27,1,1,0,129026.83,1
100320,675,UAE,Female,32,7,1757.3,1,0,0,64592.08,0
100321,813,France,Male,49,9,14320.06,2,1,1,63151.73,0
100322,698,Canada,Female,68,10,56305.93,2,1,1,73079.68,0
100323,608,UAE,Male,28,6,32837.35,1,1,0,135931.29,0
100324,497,Sweden,Female,40,5,99709.01,2,0,1,175420.44,0
100325,601,India,Female,43,5,230655.76,2,1,1,154226.52,0
100326,792,Spain,Male,51,4,118015.11,1,1,1,148230.55,0
100327,769,Switzerland,Female,63,5,3350.66,2,1,1,102034.33,0
100328,752,Brazil,Male,51,8,70686.42,2,1,1,141823.06,0
100329,695,Switzerland,Male,46,9,11148.73,1,1,0,115024.85,1
100330,800,Singapore,Female,21,8,9071.91,1,1,1,51087.6,0
100331,496,New Zealand,Male,34,9,68929.96,2,1,1,49631.79,0
100332,497,Netherlands,Female,52,7,68903.08,2,0,0,66314.48,0
100333,701,USA,Female,30,9,196781.65,2,1,0,183052.51,0
100334,548,USA,Male,58,8,243708.66,1,1,0,114008.82,0
100335,657,New Zealand,Male,56,9,92801.77,4,1,1,149442.02,1
100336,838,Mexico,Male,32,7,107221.72,1,1,1,75846.16,0
100337,766,Sweden,Male,46,7,211197.36,1,1,1,87466.0,0
100338,773,Japan,Female,46,0,67034.76,2,0,1,33857.46,0
100339,477,Germany,Female,28,9,39095.45,1,0,1,42546.04,0
100340,388,Netherlands,Male,69,10,213272.41,1,0,0,167197.75,1
100341,687,China,Female,49,4,11625.15,1,0,0,121119.34,0
100342,709,Australia,Female,19,3,154924.86,1,1,0,74131.17,0
100343,478,India,Female,64,1,140498.21,1,0,0,162541.73,1
100344,616,Spain,Female,31,7,86480.11,3,1,1,56838.78,0
100345,825,Singapore,Male,37,2,78797.38,1,1,1,195446.21,0
100346,790,Singapore,Male,39,3,192964.43,2,1,0,75515.35,0
100347,822,Australia,Female,28,6,21606.15,2,1,1,74089.08,0
100348,783,France,Male,44,9,59196.08,2,1,1,69263.26,0
100349,500,Canada,Male,20,8,183112.18,1,0,0,33201.19,0
100350,764,Germany,Male,34,1,137080.15,2,1,0,31116.06,0
100351,827,UAE,Female,61,2,31997.05,2,0,0,133139.96,0
100352,647,Sweden,Female,45,3,220533.9,2,1,0,176272.43,0
100353,448,Netherlands,Female,46,9,98361.96,2,1,1,160198.9,0
100354,612,UK,Male,38,0,206967.09,2,0,0,36810.44,0
100355,601,Spain,Female,64,6,196928.25,1,0,0,113660.6,1
100356,493,Sweden,Female,33,1,156106.36,2,1,1,30062.39,0
100357,695,Brazil,Male,54,4,123620.28,2,1,1,18605.98,0
100358,461,UAE,Female,37,0,244887.71,2,1,0,134713.31,0
100359,849,South Africa,Female,23,2,36241.27,4,1,0,111678.94,0
100360,409,Japan,Male,36,1,181288.93,1,0,0,25584.5,0
100361,718,New Zealand,Male,22,0,47797.68,4,1,0,16638.46,0
100362,351,Mexico,Male,20,6,84565.78,1,1,0,198053.72,0
100363,734,New Zealand,Female,18,4,77174.69,1,1,1,15704.05,0
100364,653,Australia,Female,55,0,236759.0,1,1,0,94460.37,0
100365,603,Italy,Female,32,5,241839.04,1,1,0,105877.61,0
100366,489,Singapore,Male,51,4,45753.86,2,1,1,32283.23,0
100367,802,India,Male,52,2,5508.79,1,1,0,42121.74,0
100368,386,India,Female,66,6,180002.01,1,0,0,76842.95,0
100369,509,Netherlands,Female,42,10,104497.48,2,1,0,154718.42,0
100370,358,USA,Male,41,9,22210.06,2,1,1,106345.66,0
100371,582,Brazil,Male,29,8,170938.53,2,0,0,131201.36,0
100372,448,Spain,Male,35,8,136276.38,2,1,1,197183.17,0
100373,496,UAE,Male,32,8,245129.21,2,1,1,155921.03,0
100374,653,India,Female,61,1,56852.37,1,1,0,92528.68,0
100375,557,Brazil,Male,33,2,100994.47,1,0,1,94823.97,0
100376,480,France,Female,44,6,135636.45,2,1,0,127566.69,0
100377,753,Australia,Female,25,4,197925.0,1,0,0,136419.39,0
100378,501,UK,Female,63,1,137209.66,2,1,1,105135.08,1
100379,403,Singapore,Male,42,2,153225.04,1,0,1,132523.63,0
100380,469,Brazil,Male,34,9,56536.76,1,1,1,14471.17,0
100381,510,New Zealand,Male,46,5,211729.68,2,1,0,91628.34,0
100382,757,Australia,Male,70,6,107157.64,2,1,0,62998.23,0
100383,465,Switzerland,Female,25,8,35239.91,2,1,1,34543.14,0
100384,424,Australia,Male,32,0,166046.98,2,1,0,28913.84,0
100385,462,Netherlands,Male,44,10,54022.61,1,1,0,124606.51,0
100386,805,Mexico,Female,63,6,24390.63,1,0,0,109484.1,1
100387,769,Switzerland,Male,67,7,215496.73,2,1,0,58180.98,1
100388,771,Sweden,Female,69,2,115040.57,2,0,1,99480.51,1
100389,453,Australia,Female,24,3,187320.93,1,1,0,103524.14,0
100390,689,Singapore,Female,20,9,72646.89,2,0,1,47051.71,0
100391,603,Brazil,Female,46,5,196742.53,1,1,0,133897.68,0
100392,576,Brazil,Female,61,9,27983.98,1,1,1,158374.68,0
100393,461,France,Female,70,6,88993.34,1,1,0,160378.07,0
100394,822,Canada,Female,41,3,244515.45,2,0,0,124469.27,0
100395,448,India,Female,20,7,198497.43,2,1,0,107211.33,0
100396,502,Australia,Male,37,4,124313.98,1,1,0,21591.36,0
100397,698,Japan,Male,63,0,84944.37,2,1,1,64687.95,0
100398,751,Australia,Male,32,3,218033.93,1,1,1,27721.57,0
100399,733,Canada,Male,42,2,136211.94,1,1,1,193126.4,0
100400,715,USA,Female,47,8,189606.25,1,1,0,35665.23,0
100401,687,Sweden,Male,31,7,188526.92,1,1,0,38837.33,0
100402,543,Japan,Female,24,0,4486.42,1,1,0,179019.56,0
100403,659,New Zealand,Male,34,10,31563.45,2,1,1,189346.37,0
100404,512,India,Male,61,5,164907.34,2,0,1,155507.52,0
100405,557,Australia,Male,37,8,40404.95,2,0,1,11026.94,0
100406,794,UAE,Female,53,6,63873.34,1,0,0,10255.79,0
